theta,desired,actual
12690,8261,7433
12695,8325,7433
12700,8011,7452
12705,7462,7481
12710,6930,7500
12715,6659,7519
12720,6775,7500
12725,7222,7481
12730,7798,7452
12735,8236,7433
12740,8336,7433
12745,8052,7452
12750,7515,7481
7835,8311,7452
7840,8273,7462
7845,7848,7481
7850,7249,7500
7855,6775,7529
7860,6663,7529
7865,6970,7509
7870,7541,7481
7875,8091,7462
7880,8346,7452
7885,8178,7462
7890,7671,7491
7895,7078,7519
7900,6696,7538
7905,6716,7538
7910,7127,7509
7915,7725,7481
7920,8210,7462
7925,8340,7462
7930,8050,7481
7935,7485,7500
7940,6927,7538
7945,6656,7538
7950,6806,7538
7955,7302,7500
7960,7898,7481
7965,8294,7462
7970,8293,7462
7975,7896,7481
7980,7300,7500
7985,6804,7529
7990,6656,7529
7995,6929,7500
8000,7487,7481
8005,8052,7452
8010,8340,7443
8015,8208,7452
8020,7723,7481
8025,7125,7500
8030,6715,7538
8035,6697,7538
8040,7080,7519
8045,7673,7481
8050,8179,7462
8055,8346,7462
8060,8090,7481
8065,7539,7500
8070,6968,7538
8075,6663,7538
8080,6776,7538
8085,7251,7519
8090,7850,7481
8095,8274,7472
8100,8311,7462
8105,7942,7481
8110,7353,7509
8115,6836,7538
8120,6652,7548
8125,6891,7529
8130,7434,7491
8135,8010,7472
8140,8331,7452
8145,8236,7462
8150,7774,7481
8155,7174,7500
8160,6737,7529
8165,6681,7529
8170,7034,7500
8175,7620,7481
8180,8146,7462
8185,8348,7452
8190,8127,7472
8195,7592,7491
8200,7011,7519
8205,6674,7538
8210,6750,7538
8215,7200,7519
8220,7800,7481
8225,8250,7462
8230,8325,7462
8235,7987,7481
8240,7406,7509
8245,6871,7529
8250,6651,7538
8255,6855,7529
8260,7381,7491
8265,7966,7472
8270,8318,7452
8275,8261,7462
8280,7824,7481
8285,7224,7500
8290,6762,7529
8295,6668,7529
8300,6990,7509
8305,7567,7481
8310,8110,7462
8315,8347,7452
8320,8161,7472
8325,7645,7491
8330,7055,7519
8335,6688,7538
8340,6726,7538
8345,7151,7509
8350,7750,7481
8355,8224,7462
8360,8336,7462
8365,8030,7481
8370,7459,7500
8375,6908,7538
8380,6653,7538
8385,6821,7529
8390,7328,7500
8395,7921,7481
8400,8303,7452
8405,8283,7462
8410,7872,7481
8415,7275,7500
8420,6790,7424
8425,6659,7500
8430,6949,7491
8435,7514,7452
8440,8071,7423
8445,8343,7414
8450,8194,7433
8455,7697,7443
8460,7102,7481
8465,6705,7500
8470,6706,7500
8475,7103,7481
8480,7698,7452
8485,8194,7433
8490,8343,7433
8495,8070,7452
8500,7512,7481
8505,6948,7500
8510,6659,7519
8515,6790,7509
8520,7276,7491
8525,7873,7462
8530,8284,7443
8535,8302,7443
8540,7920,7462
8545,7327,7491
8550,6820,7519
8555,6653,7519
8560,6909,7500
8565,7460,7481
8570,8031,7452
8575,8336,7443
8580,8223,7452
8585,7749,7481
8590,7150,7500
8595,6726,7529
8600,6688,7529
8605,7056,7500
8610,7646,7481
8615,8162,7452
8620,8347,7452
8625,8109,7472
8630,7566,7491
8635,6989,7529
8640,6668,7548
8645,6762,7538
8650,7225,7519
8655,7825,7481
8660,8262,7462
8665,8318,7462
8670,7965,7481
8675,7379,7500
8680,6854,7538
8685,6651,7538
8690,6872,7519
8695,7407,7491
8700,7988,7472
8705,8325,7452
8710,8249,7462
8715,7799,7481
8720,7199,7500
8725,6749,7529
8730,6674,7529
8735,7012,7509
8740,7593,7481
8745,8128,7462
8750,8348,7462
8755,8145,7472
8760,7619,7491
8765,7033,7529
8770,6681,7538
8775,6737,7538
8780,7175,7529
8785,7775,7491
8790,8237,7472
8795,8331,7472
8800,8009,7481
8805,7433,7500
8810,6890,7538
8815,6652,7538
8820,6837,7529
8825,7354,7500
8830,7943,7472
8835,8311,7452
8840,8273,7452
8845,7849,7481
8850,7250,7500
8855,6776,7529
8860,6663,7529
8865,6969,7509
8870,7540,7481
8875,8090,7462
8880,8346,7452
8885,8178,7462
8890,7671,7481
8895,7079,7519
8900,6696,7538
8905,6715,7538
8910,7126,7519
8915,7724,7481
8920,8209,7462
8925,8340,7462
8930,8051,7481
8935,7486,7500
8940,6928,7538
8945,6656,7538
8950,6805,7538
8955,7302,7500
8960,7897,7481
8965,8294,7424
8970,8293,7481
8975,7897,7500
8980,7301,7538
8985,6805,7552
8990,6656,7538
8995,6928,7529
9000,7486,7491
9005,8051,7462
9010,8340,7452
9015,8209,7462
9020,7723,7481
9025,7126,7500
9030,6715,7529
9035,6696,7529
9040,7079,7519
9045,7672,7481
9050,8178,7462
9055,8346,7462
9060,8090,7481
9065,7539,7500
9070,6969,7529
9075,6663,7538
9080,6776,7538
9085,7250,7519
9090,7849,7491
9095,8273,7472
9100,8311,7462
9105,7943,7481
9110,7353,7509
9115,6837,7529
9120,6652,7538
9125,6890,7519
9130,7433,7491
9135,8009,7472
9140,8331,7452
9145,8237,7462
9150,7774,7481
9155,7175,7509
9160,6737,7538
9165,6681,7538
9170,7034,7519
9175,7619,7491
9180,8145,7472
9185,8348,7462
9190,8127,7481
9195,7593,7500
9200,7011,7538
9205,6674,7538
9210,6749,7538
9215,7200,7519
9220,7800,7481
9225,8250,7472
9230,8325,7472
9235,7988,7481
9240,7406,7519
9245,6872,7538
9250,6651,7538
9255,6854,7529
9260,7380,7500
9265,7966,7481
9270,8318,7462
9275,8262,7462
9280,7824,7481
9285,7225,7509
9295,6668,7366
9300,6990,7346
9305,7566,7298
9315,8347,7433
9320,8162,7443
9325,7645,7491
9330,7056,7529
9335,6688,7538
9340,6726,7538
9345,7150,7538
9350,7749,7509
9355,8223,7481
9360,8336,7481
9365,8030,7500
9370,7460,7538
9375,6909,7548
9380,6653,7558
9385,6821,7548
9390,7327,7529
9395,7920,7500
9400,8303,7481
9405,8284,7481
9410,7873,7491
9415,7276,7529
9420,6790,7538
9425,6659,7538
9430,6948,7538
9435,7513,7500
9440,8071,7481
9445,8343,7472
9450,8194,7481
9455,7698,7491
9460,7102,7529
9465,6706,7538
9470,6705,7538
9475,7102,7529
9480,7698,7500
9485,8194,7481
9490,8343,7481
9495,8071,7491
9500,7513,7519
9505,6948,7538
9510,6659,7548
9515,6790,7538
9520,7275,7519
9525,7873,7491
9530,8284,7472
9535,8303,7462
9540,7920,7481
9545,7328,7509
9550,6821,7538
9555,6653,7538
9560,6909,7519
9565,7459,7491
9570,8030,7472
9575,8336,7462
9580,8223,7462
9585,7749,7481
9590,7150,7519
9595,6726,7538
9600,6688,7538
